Division;Polling Place;ALP TPP Vote;ALP TPP Pc;ALP Swing;Coalition TPP Vote;Coalition Party;TPP Exhausted;Informal Vote
Banks;Beverly Hills North;1407;51.07;-9.28;1348;LP;8;143
Banks;East Hills;589;50.30;-12.75;582;LP;7;56
Banks;Hannans Road;1608;63.99;-8.24;905;LP;7;154
Banks;Lugarno;979;29.83;-7.07;2303;LP;17;108
Banks;Milperra;1189;44.18;-13.55;1502;LP;14;105
Banks;Mortdale Central;1136;53.84;-10.07;974;LP;16;105
Banks;Mortdale Heights;455;47.40;-10.33;505;LP;4;31
Banks;Mortdale West;1117;50.47;-7.92;1096;LP;7;72
Banks;Narwee;1438;54.41;-7.91;1205;LP;10;125
Banks;Oatley (Banks);153;35.09;-14.91;283;LP;2;19
Banks;Oatley West;1008;40.79;-6.33;1463;LP;19;54
Banks;Padstow;2043;55.96;-11.03;1608;LP;16;171
Banks;Padstow East;502;55.41;-11.02;404;LP;7;38
Banks;Padstow North;615;51.81;-13.60;572;LP;6;57
Banks;Padstow South;1363;45.95;-8.61;1603;LP;17;139
Banks;Panania;1103;53.73;-11.14;950;LP;11;113
Banks;Panania Central;950;54.88;-10.52;781;LP;12;84
Banks;Panania North;1060;56.68;-10.27;810;LP;6;70
Banks;Panania South;1476;46.96;-12.14;1667;LP;21;99
Banks;Peakhurst;311;54.66;-9.25;258;LP;4;16
Banks;Peakhurst East;886;54.69;-5.12;734;LP;11;77
Banks;Peakhurst South;724;37.24;-4.10;1220;LP;7;46
Banks;Peakhurst West;1251;45.56;-9.28;1495;LP;10;115
Banks;Penshurst Central;1275;57.17;-6.65;955;LP;14;127
Banks;Picnic Point North;907;44.66;-11.85;1124;LP;5;83
Banks;Punchbowl (Banks);1547;69.65;-6.88;674;LP;2;189
Banks;Revesby;906;60.64;-10.08;588;LP;8;101
Banks;Revesby North;1837;57.69;-10.44;1347;LP;13;175
Banks;Revesby South;1251;52.17;-11.17;1147;LP;20;88
Banks;Riverwood North;1025;69.35;-9.33;453;LP;7;133
Banks;Riverwood South;743;53.80;-5.96;638;LP;5;60
Banks;Special Hospital Team 1;73;43.45;;95;LP;0;0
Banks;Sydney (Banks);47;62.67;3.25;28;LP;2;6
Banks;ABSENT;2093;54.05;;1779;LP;26;179
Banks;POSTAL;1066;49.40;;1092;LP;4;21
Banks;PRE POLL;1092;50.53;;1069;LP;11;62
Banks;PROVISIONAL;217;61.82;;134;LP;1;25
Barton;Allawah;830;56.46;-3.06;640;LP;8;65
Barton;Allawah South;481;57.40;-7.30;357;LP;5;53
Barton;Arncliffe;584;60.39;-4.36;383;LP;1;57
Barton;Arncliffe East;827;71.23;-4.92;334;LP;6;63
Barton;Athelstane;2117;69.87;-4.35;913;LP;5;183
Barton;Bald Face;301;20.95;-2.30;1136;LP;3;28
Barton;Banksia;1440;74.84;1.24;484;LP;1;130
Barton;Bell Park;486;50.05;-5.83;485;LP;2;25
Barton;Bexley;1385;64.00;-0.70;779;LP;7;101
Barton;Bexley Central;605;64.84;-1.25;328;LP;2;54
Barton;Blakehurst;362;37.71;-8.97;598;LP;3;43
Barton;Bona Park;393;49.37;-7.70;403;LP;3;44
Barton;Brighton North;1273;57.19;-6.57;953;LP;10;124
Barton;Brighton-Le-Sands;1213;57.52;-5.74;896;LP;5;87
Barton;Broadford Street;456;65.14;-6.53;244;LP;5;53
Barton;Carlton;1338;66.47;-3.80;675;LP;5;136
Barton;Carlton North;754;62.57;-5.14;451;LP;3;68
Barton;Carss Park;322;32.43;-6.26;671;LP;5;34
Barton;Clareville Park;971;42.98;-8.94;1288;LP;4;72
Barton;Connells Point;841;29.12;-2.83;2047;LP;6;77
Barton;Hurstville Central;623;52.13;-0.19;572;LP;4;63
Barton;Hurstville Grove;1051;45.98;-7.81;1235;LP;13;92
Barton;Hurstville South;265;46.74;-4.33;302;LP;3;17
Barton;Jubilee;1649;56.57;-3.03;1266;LP;7;127
Barton;Kogarah;710;67.43;2.06;343;LP;5;60
Barton;Kogarah Bay;360;36.92;-11.68;615;LP;8;37
Barton;Kogarah Central;650;67.01;-3.24;320;LP;4;62
Barton;Kyeemagh;423;61.75;0.21;262;LP;0;44
Barton;Monterey;1051;49.81;-9.92;1059;LP;8;101
Barton;Moorefield;440;50.98;-10.82;423;LP;2;41
Barton;Mortdale East;519;47.10;-12.61;583;LP;7;36
Barton;Oatley (Barton);892;38.75;-5.82;1410;LP;9;54
Barton;Ramsgate North;985;50.59;-6.97;962;LP;4;81
Barton;Rockdale;1602;76.00;-0.36;506;LP;8;122
Barton;Rockdale Central;601;69.48;-4.92;264;LP;3;55
Barton;Rockdale Park;423;68.23;1.02;197;LP;0;50
Barton;Rockdale West;1325;74.11;0.39;463;LP;4;102
Barton;Sans Souci;922;41.87;-9.58;1280;LP;6;89
Barton;Sans Souci North;1116;49.36;-10.80;1145;LP;8;95
Barton;South Haven;461;62.72;-6.93;274;LP;2;40
Barton;Special Hospital Team 1;69;33.17;;139;LP;0;3
Barton;Special Hospital Team 2;69;48.25;;74;LP;0;0
Barton;Special Hospital Team 3;70;47.30;;78;LP;0;5
Barton;St Cuthbert's;1088;54.59;-2.35;905;LP;8;92
Barton;St George Hospital;94;61.04;2.22;60;LP;1;4
Barton;Sydney (Barton);89;66.42;29.42;45;LP;0;5
Barton;The Mall;331;40.66;-7.47;483;LP;0;26
Barton;Turrella;773;75.05;-6.59;257;LP;3;60
Barton;ABSENT;1788;53.57;;1550;LP;12;120
Barton;POSTAL;961;48.07;;1038;LP;2;25
Barton;PRE POLL;1324;48.82;;1388;LP;2;70
Barton;PROVISIONAL;547;68.29;;254;LP;2;53
Bennelong;Balaclava;915;41.22;-2.55;1305;LP;12;75
Bennelong;Boronia Park;924;41.94;-9.50;1279;LP;22;57
Bennelong;Denistone;334;40.24;1.06;496;LP;2;36
Bennelong;Denistone East;783;37.30;-4.73;1316;LP;10;75
Bennelong;Eastview;703;41.92;-10.97;974;LP;5;97
Bennelong;Eastwood;1769;39.37;-6.93;2724;LP;22;158
Bennelong;Eastwood Heights;762;34.46;-6.12;1449;LP;7;107
Bennelong;Eastwood West;145;33.96;-8.37;282;LP;0;16
Bennelong;Epping (Bennelong);737;37.35;-1.50;1236;LP;18;89
Bennelong;Epping East;921;34.79;-2.78;1726;LP;24;82
Bennelong;Epping North;700;30.12;-7.72;1624;LP;11;53
Bennelong;Epping West (Bennelong);238;28.92;-13.72;585;LP;12;20
Bennelong;Ermington (Bennelong);499;42.72;-5.03;669;LP;5;44
Bennelong;Gladesville;1436;44.71;-8.55;1776;LP;18;193
Bennelong;Gladesville Central;258;40.63;-15.20;377;LP;0;31
Bennelong;Gladesville East;139;41.12;-6.26;199;LP;2;6
Bennelong;Gladesville North;683;43.56;-7.22;885;LP;8;68
Bennelong;Gladesville West;392;37.26;-13.14;660;LP;4;41
Bennelong;Hunters Hill;291;18.15;-7.57;1312;LP;5;33
Bennelong;Hunters Hill West;339;28.95;-9.87;832;LP;6;42
Bennelong;Kent Road;873;42.77;-10.70;1168;LP;7;80
Bennelong;Kittys Creek;145;38.67;-11.33;230;LP;3;8
Bennelong;Lyon Park;600;48.54;-6.36;636;LP;9;79
Bennelong;Marsfield;816;39.16;-2.56;1268;LP;10;86
Bennelong;Meadowbank;349;49.79;-6.80;352;LP;3;36
Bennelong;Parkes Street;689;45.96;-8.74;810;LP;2;47
Bennelong;Putney;969;39.47;-10.38;1486;LP;4;92
Bennelong;Royal Ryde Homes;67;40.36;-5.74;99;LP;2;7
Bennelong;Ryde;1644;53.41;-6.17;1434;LP;8;269
Bennelong;Ryde Central;544;43.35;-7.58;711;LP;3;72
Bennelong;Ryde East;1137;37.23;-9.64;1917;LP;20;95
Bennelong;Ryde Heights;288;47.45;-11.39;319;LP;1;53
Bennelong;Ryde Hospital;249;37.61;-0.85;413;LP;2;23
Bennelong;Ryde North;1258;42.17;-9.46;1725;LP;14;148
Bennelong;Ryde South;291;43.50;-5.68;378;LP;0;16
Bennelong;Special Hospital Team 1;63;34.62;;119;LP;0;18
Bennelong;Special Hospital Team 2;13;5.06;;244;LP;0;3
Bennelong;Special Hospital Team 3;19;48.72;;20;LP;0;0
Bennelong;Special Hospital Team 4;18;31.03;;40;LP;0;1
Bennelong;Special Hospital Team 5;27;26.73;;74;LP;0;1
Bennelong;Sydney (Bennelong);86;51.81;-5.71;80;LP;2;7
Bennelong;Truscott;624;39.00;-9.67;976;LP;5;50
Bennelong;Water Tanks;348;42.23;-10.72;476;LP;3;25
Bennelong;West Ryde;1752;49.45;-7.05;1791;LP;15;173
Bennelong;Wicks;169;36.58;-2.66;293;LP;0;5
Bennelong;Woolwich;156;23.04;-5.53;521;LP;5;12
Bennelong;ABSENT;1687;41.13;;2415;LP;24;149
Bennelong;POSTAL;827;33.24;;1661;LP;7;32
Bennelong;PRE POLL;1057;40.01;;1585;LP;11;54
Bennelong;PROVISIONAL;185;50.55;;181;LP;5;30
Berowra;Arcadia;172;20.12;-8.42;683;LP;9;22
Berowra;Asquith;797;39.46;-9.40;1223;LP;11;54
Berowra;Beecroft;790;24.48;-8.80;2437;LP;31;56
Berowra;Beecroft West;843;28.62;-6.17;2103;LP;18;76
Berowra;Berowra;1196;37.42;-10.46;2000;LP;23;107
Berowra;Berowra North;637;37.49;-8.98;1062;LP;15;44
Berowra;Berowra Waters;8;10.67;-24.00;67;LP;1;5
Berowra;Bowden Brae;91;22.52;-7.67;313;LP;3;10
Berowra;Brooklyn;210;48.72;-8.20;221;LP;1;18
Berowra;Cheltenham;295;23.98;-5.71;935;LP;12;19
Berowra;Cherrybrook (Berowra);411;26.79;-3.49;1123;LP;2;39
Berowra;Cherrybrook South;199;21.26;-1.98;737;LP;4;24
Berowra;Cowan;145;45.74;-12.78;172;LP;4;12
Berowra;Dangar Island;67;54.47;-11.88;56;LP;1;0
Berowra;Dural (Berowra);236;20.21;-5.56;932;LP;6;41
Berowra;Epping (Berowra);148;41.00;6.72;213;LP;6;12
Berowra;Epping Heights;516;30.48;-6.70;1177;LP;8;48
Berowra;Epping West (Berowra);584;32.21;-7.06;1229;LP;9;46
Berowra;Galston;318;19.92;-6.88;1278;LP;13;52
Berowra;Glenorie (Berowra);152;20.97;-2.50;573;LP;9;30
Berowra;Hornsby;796;41.50;-6.97;1122;LP;14;80
Berowra;Hornsby Heights;892;33.20;-10.71;1795;LP;23;102
Berowra;Hornsby Hospital;159;42.06;-5.76;219;LP;5;15
Berowra;Hornsby North;604;37.56;-9.21;1004;LP;24;48
Berowra;Hornsby South;1193;44.37;-2.73;1496;LP;17;146
Berowra;Hornsby West;354;40.23;-5.42;526;LP;9;30
Berowra;John Purchase;1192;31.36;-3.67;2609;LP;13;83
Berowra;Middle Dural (Berowra);73;20.00;0.56;292;LP;2;15
Berowra;Mount Colah;1049;37.79;-9.62;1727;LP;20;86
Berowra;Mount Kuring-Gai;425;40.67;-8.11;620;LP;8;33
Berowra;Normanhurst;760;32.84;-6.80;1554;LP;16;66
Berowra;Normanhurst North;492;35.42;-8.62;897;LP;11;59
Berowra;Normanhurst West;713;33.92;-6.91;1389;LP;28;50
Berowra;Pennant Hills;1206;33.15;-5.30;2432;LP;20;116
Berowra;Special Hospital Team 1;20;11.30;;157;LP;0;1
Berowra;Special Hospital Team 2;19;15.97;;100;LP;0;4
Berowra;Special Hospital Team 3;24;15.29;;133;LP;0;2
Berowra;Special Hospital Team 4;34;22.22;;119;LP;0;0
Berowra;Special Hospital Team 5;13;18.84;;56;LP;0;0
Berowra;Sydney (Berowra);53;42.06;-12.35;73;LP;2;7
Berowra;Thompsons Corner (Berowra);401;24.10;-7.02;1263;LP;14;60
Berowra;Thornleigh;453;32.64;-7.86;935;LP;11;44
Berowra;Turramurra South (Berowra);142;26.49;-2.92;394;LP;6;16
Berowra;Waitara;618;31.43;-6.31;1348;LP;20;79
Berowra;Waitara South;98;22.84;-4.74;331;LP;1;10
Berowra;Warrawee (Berowra);442;22.56;-5.54;1517;LP;10;46
Berowra;Westleigh;862;26.30;-5.32;2416;LP;16;77
Berowra;ABSENT;1516;35.47;;2758;LP;28;132
Berowra;POSTAL;488;25.47;;1428;LP;1;27
Berowra;PRE POLL;1229;28.49;;3085;LP;18;68
Berowra;PROVISIONAL;133;40.30;;197;LP;4;16
Blaxland;Bankstown;1009;69.68;-2.86;439;LP;6;106
Blaxland;Bankstown Central;1119;72.38;-10.02;427;LP;3;133
Blaxland;Bankstown North;1029;66.73;-6.67;513;LP;7;74
Blaxland;Bankstown South;1116;66.95;-7.93;551;LP;1;121
Blaxland;Bankstown West;1975;75.07;-7.33;656;LP;4;247
Blaxland;Bass Hill;1214;58.76;-11.54;852;LP;8;155
Blaxland;Bass Hill Central;821;56.16;-11.74;641;LP;9;82
Blaxland;Bass Hill West;1538;51.39;-9.40;1455;LP;9;170
Blaxland;Birrong;1638;58.31;-10.74;1171;LP;11;190
Blaxland;Chester Hill;2169;61.64;-11.00;1350;LP;10;285
Blaxland;Chester Hill North;1186;56.24;-13.10;923;LP;1;123
Blaxland;Chullora;1052;57.42;-12.02;780;LP;9;140
Blaxland;Chullora South (Blaxland);896;60.54;-11.63;584;LP;7;93
Blaxland;Condell Park;2753;57.82;-11.09;2008;LP;10;332
Blaxland;Condell Park South;1361;72.70;-7.45;511;LP;10;130
Blaxland;Georges Hall;1643;50.18;-10.12;1631;LP;12;191
Blaxland;Gosling Park;759;58.43;-9.71;540;LP;5;84
Blaxland;Greenacre;3202;64.98;-8.02;1726;LP;20;441
Blaxland;Mount Lewis;507;61.53;-11.92;317;LP;1;38
Blaxland;Old Guildford (Blaxland);124;62.31;-14.04;75;LP;0;17
Blaxland;Punchbowl (Blaxland);1955;73.03;-7.86;722;LP;4;191
Blaxland;Punchbowl Central;1331;70.31;-6.41;562;LP;1;170
Blaxland;Sefton;1324;58.38;-9.40;944;LP;5;139
Blaxland;Special Hospital Team 1;58;44.96;;71;LP;1;5
Blaxland;Special Hospital Team 2;79;56.03;;62;LP;1;4
Blaxland;Sydney (Blaxland);42;62.69;-19.13;25;LP;0;7
Blaxland;Villawood Central;342;78.80;-12.22;92;LP;2;47
Blaxland;Villawood East;955;74.03;-9.49;335;LP;4;118
Blaxland;Wattawa Heights;1164;61.13;-9.50;740;LP;2;135
Blaxland;Wiley Park West;2316;74.59;-5.13;789;LP;4;232
Blaxland;Yagoona;2116;67.07;-6.95;1039;LP;10;253
Blaxland;Yagoona West;793;63.09;-7.59;464;LP;3;65
Blaxland;ABSENT;2101;60.13;;1393;LP;16;286
Blaxland;POSTAL;1000;56.15;;781;LP;7;36
Blaxland;PRE POLL;1032;59.04;;716;LP;2;75
Blaxland;PROVISIONAL;609;78.08;;171;LP;1;90
Bradfield;Belrose (Bradfield);322;26.79;-8.76;880;LP;2;45
Bradfield;Belrose North (Bradfield);290;23.31;-5.56;954;LP;7;54
Bradfield;Castle Cove;309;21.43;-2.53;1133;LP;8;54
Bradfield;Chatswood (Bradfield);119;38.02;-11.22;194;LP;3;13
Bradfield;Chatswood North;370;34.55;-8.21;701;LP;6;30
Bradfield;Chatswood West (Bradfield);247;33.47;-3.80;491;LP;2;23
Bradfield;Frenchs Forest (Bradfield);98;25.59;-7.93;285;LP;1;30
Bradfield;Gordon;728;26.50;-1.24;2019;LP;23;79
Bradfield;Gordon East;447;22.93;-0.44;1502;LP;18;61
Bradfield;Gordon West;448;28.09;-4.62;1147;LP;23;44
Bradfield;Kambora;194;24.19;-6.70;608;LP;4;28
Bradfield;Killara;268;14.94;-0.80;1526;LP;14;57
Bradfield;Killara East;540;26.38;1.49;1507;LP;17;78
Bradfield;Kissing Point;311;28.90;-5.45;765;LP;17;37
Bradfield;Lady Davidson Hospital;15;22.73;-24.77;51;LP;1;2
Bradfield;Lindfield;539;26.40;-0.01;1503;LP;17;82
Bradfield;Lindfield East;436;23.19;-4.31;1444;LP;19;48
Bradfield;Lindfield North;857;29.12;-2.64;2086;LP;30;63
Bradfield;Lindfield West;627;26.40;-4.43;1748;LP;43;86
Bradfield;Mimosa;626;24.66;-2.35;1913;LP;16;82
Bradfield;Pymble;347;17.95;-1.61;1586;LP;13;60
Bradfield;Pymble North;411;21.26;-2.85;1522;LP;19;64
Bradfield;Pymble West;501;25.89;-7.17;1434;LP;21;64
Bradfield;Roseville;282;21.88;-3.10;1007;LP;12;31
Bradfield;Roseville Chase;258;26.06;-4.33;732;LP;3;38
Bradfield;Roseville East;299;26.58;-3.11;826;LP;14;19
Bradfield;Roseville South (Bradfield);249;33.88;-1.08;486;LP;7;26
Bradfield;Special Hospital Team 1;38;14.96;;216;LP;1;6
Bradfield;Special Hospital Team 2;17;6.03;;265;LP;1;6
Bradfield;Special Hospital Team 3;20;15.38;;110;LP;0;4
Bradfield;Special Hospital Team 4;26;14.36;;155;LP;0;6
Bradfield;Special Hospital Team 5;19;11.73;;143;LP;0;4
Bradfield;St Ives;277;18.67;-0.30;1207;LP;12;29
Bradfield;St Ives Chase;142;20.40;-3.44;554;LP;13;27
Bradfield;St Ives North;621;22.39;-1.06;2153;LP;27;82
Bradfield;St Ives Park;345;20.29;-1.58;1355;LP;9;57
Bradfield;St Ives South;594;20.87;-6.11;2252;LP;20;111
Bradfield;Sydney (Bradfield);36;32.73;-6.05;74;LP;0;8
Bradfield;Turramurra;96;12.65;-4.34;663;LP;5;15
Bradfield;Turramurra Central;364;21.25;-2.82;1349;LP;23;45
Bradfield;Turramurra North;562;23.69;-6.30;1810;LP;21;63
Bradfield;Turramurra South (Bradfield);675;31.76;-4.10;1450;LP;28;56
Bradfield;Wahroonga;580;19.74;-2.29;2358;LP;27;71
Bradfield;Wahroonga East;396;22.44;-1.06;1369;LP;22;52
Bradfield;Warrawee (Bradfield);329;23.33;-5.23;1081;LP;10;35
Bradfield;ABSENT;1102;27.68;;2879;LP;40;134
Bradfield;POSTAL;462;21.18;;1719;LP;10;31
Bradfield;PRE POLL;1003;27.78;;2607;LP;13;99
Bradfield;PROVISIONAL;66;28.33;;167;LP;0;13
Calare;Barry;30;28.04;;77;NP;0;2
Calare;Bathurst;1397;51.99;;1290;NP;24;47
Calare;Bathurst Central;503;51.70;;470;NP;15;19
Calare;Bathurst City;851;52.76;;762;NP;7;37
Calare;Bathurst High;575;50.57;;562;NP;6;19
Calare;Bathurst Hospital;393;49.37;;403;NP;7;20
Calare;Bathurst South;727;57.42;;539;NP;11;31
Calare;Bathurst St Vincents;210;63.44;;121;NP;1;5
Calare;Bathurst West;972;46.62;;1113;NP;27;44
Calare;Black Springs;87;35.66;;157;NP;2;8
Calare;Blayney;790;43.48;;1027;NP;15;47
Calare;Bletchington;1094;45.72;;1299;NP;16;53
Calare;Bloomfield Hospital;44;35.48;;80;NP;4;8
Calare;Borenore;71;28.74;;176;NP;3;4
Calare;Bowen;1135;45.93;;1336;NP;18;70
Calare;Bowenfels South;111;50.45;;109;NP;1;7
Calare;Burraga;31;37.35;;52;NP;0;1
Calare;Bylong;10;16.95;;49;NP;0;1
Calare;Calare School;635;37.09;;1077;NP;9;34
Calare;Canobolas;40;24.54;;123;NP;0;3
Calare;Canowindra;502;39.28;;776;NP;6;33
Calare;Capertee;72;52.94;;64;NP;2;2
Calare;Carcoar;105;50.48;;103;NP;2;1
Calare;Cargo;111;46.44;;128;NP;3;6
Calare;Cooerwull;1342;63.51;;771;NP;21;69
Calare;Cudal;125;27.84;;324;NP;3;6
Calare;Cullen Bullen;136;76.84;;41;NP;1;11
Calare;Cumnock;93;27.03;;251;NP;3;5
Calare;Curra Creek;10;15.38;;55;NP;0;1
Calare;Eglinton;550;40.29;;815;NP;7;26
Calare;Errowanbang;14;19.72;;57;NP;2;0
Calare;Euchareena;27;23.08;;90;NP;0;3
Calare;Eugowra;183;35.74;;329;NP;2;8
Calare;Glen Alice;18;33.96;;35;NP;1;0
Calare;Glenroi;1262;59.75;;850;NP;11;71
Calare;Hampton;48;38.10;;78;NP;4;4
Calare;Hartley;85;36.02;;151;NP;0;2
Calare;Hermitage;401;67.62;;192;NP;3;17
Calare;Hill End;56;60.21;;37;NP;1;0
Calare;Ilford;61;29.90;;143;NP;1;4
Calare;Jenolan Caves;15;40.54;;22;NP;0;0
Calare;Kandos;694;67.12;;340;NP;7;41
Calare;Kelso;1209;46.00;;1419;NP;23;62
Calare;Kirkconnell;64;42.38;;87;NP;2;0
Calare;Lithgow;1250;66.81;;621;NP;18;51
Calare;Lithgow Hospital;57;55.88;;45;NP;0;4
Calare;Littleton;383;65.36;;203;NP;4;9
Calare;Lucknow;97;31.19;;214;NP;1;7
Calare;Lyndhurst;90;38.14;;146;NP;0;6
Calare;Mandurama;62;31.47;;135;NP;2;4
Calare;Manildra;209;37.39;;350;NP;2;9
Calare;March;48;25.67;;139;NP;1;0
Calare;Meadow Flat;65;44.52;;81;NP;1;3
Calare;Millthorpe;218;35.28;;400;NP;8;20
Calare;Mitchell Campus;76;58.46;;54;NP;3;1
Calare;Molong;482;37.16;;815;NP;10;29
Calare;Morts Estate;346;75.22;;114;NP;2;8
Calare;Mullion Creek;81;34.76;;152;NP;3;0
Calare;Mumbil;78;47.56;;86;NP;0;2
Calare;Nashdale;69;23.15;;229;NP;7;5
Calare;Neurea;10;14.08;;61;NP;2;1
Calare;Neville;32;25.60;;93;NP;1;4
Calare;Newbridge;46;35.11;;85;NP;1;2
Calare;O'Connell;75;32.47;;156;NP;8;0
Calare;Oakey Park;240;72.07;;93;NP;2;8
Calare;Oberon;690;37.06;;1172;NP;13;64
Calare;Orange;950;40.55;;1393;NP;20;52
Calare;Orange East;660;49.48;;674;NP;18;34
Calare;Orange Hospital;155;42.47;;210;NP;1;8
Calare;Orange North;371;42.02;;512;NP;8;19
Calare;Orange South;664;39.48;;1018;NP;8;47
Calare;Orange West;1199;35.45;;2183;NP;31;82
Calare;Peel;42;39.25;;65;NP;0;1
Calare;Perthville;123;28.15;;314;NP;1;9
Calare;Portland;921;73.98;;324;NP;15;17
Calare;Prison Mobile Team 1;7;100.00;;0;NP;0;0
Calare;Raglan;361;50.63;;352;NP;4;12
Calare;Rockley;84;33.33;;168;NP;3;1
Calare;Rydal;50;40.65;;73;NP;2;1
Calare;Rylstone;334;45.07;;407;NP;8;23
Calare;Sofala;54;50.00;;54;NP;0;1
Calare;Special Hospital Team 1;71;31.84;;152;NP;1;6
Calare;Special Hospital Team 2;49;46.23;;57;NP;0;1
Calare;Special Hospital Team 3;6;37.50;;10;NP;0;1
Calare;Special Hospital Team 4;10;23.81;;32;NP;0;0
Calare;Special Hospital Team 5;24;55.81;;19;NP;0;5
Calare;Special Hospital Team 6;16;61.54;;10;NP;0;0
Calare;Special Hospital Team 7;7;35.00;;13;NP;0;0
Calare;Spring Hill;95;42.99;;126;NP;1;2
Calare;Spring Terrace;56;24.35;;174;NP;1;2
Calare;Stuart Town;95;49.48;;97;NP;1;5
Calare;Summer Hill Creek;61;37.89;;100;NP;5;5
Calare;Sydney (Calare);18;31.03;;40;NP;2;3
Calare;Tarana;32;36.78;;55;NP;1;2
Calare;The Lagoon;28;25.23;;83;NP;1;1
Calare;Trunkey Creek;32;22.70;;109;NP;1;1
Calare;Tweed Mills;587;68.82;;266;NP;6;24
Calare;Vale Of Clwydd;323;68.43;;149;NP;5;17
Calare;Wallerawang;803;64.34;;445;NP;6;36
Calare;Wattle Flat;65;50.78;;63;NP;0;3
Calare;Yeoval;144;29.33;;347;NP;2;15
Calare;ABSENT;1922;44.45;;2402;NP;39;105
Calare;POSTAL;1087;47.28;;1212;NP;16;21
Calare;PRE POLL;1191;44.42;;1490;NP;8;37
Calare;PROVISIONAL;248;58.22;;178;NP;6;19
Charlton;Arcadia Vale;478;60.51;-10.09;312;LP;3;21
Charlton;Argenton;611;72.22;-8.98;235;LP;3;43
Charlton;Awaba;143;60.59;-13.48;93;LP;1;16
Charlton;Barnsley;741;69.71;-8.00;322;LP;3;43
Charlton;Blackalls;1050;71.33;-7.17;422;LP;3;70
Charlton;Bolton Point;416;59.43;-7.76;284;LP;9;33
Charlton;Bonnells Bay;786;54.51;-9.62;656;LP;6;43
Charlton;Boolaroo;494;63.01;-10.20;290;LP;3;39
Charlton;Booragul;809;70.16;-7.70;344;LP;4;54
Charlton;Booragul Homes;80;57.14;-7.00;60;LP;0;2
Charlton;Brightwaters;469;52.70;-6.87;421;LP;5;33
Charlton;Cardiff;1453;59.55;-8.95;987;LP;9;112
Charlton;Cardiff East;537;65.65;-9.10;281;LP;3;36
Charlton;Cardiff Heights;834;47.36;-3.50;927;LP;12;46
Charlton;Cardiff North;802;58.28;-7.74;574;LP;8;53
Charlton;Cardiff South;1063;66.86;-5.98;527;LP;7;42
Charlton;Carey Bay;400;45.30;-4.25;483;LP;12;20
Charlton;Coal Point;350;40.60;-6.82;512;LP;10;13
Charlton;Cooranbong;317;44.46;-12.23;396;LP;4;25
Charlton;Dora Creek;524;54.24;-9.53;442;LP;5;39
Charlton;Edgeworth;1911;68.77;-8.01;868;LP;20;128
Charlton;Edgeworth Heights;887;70.90;-7.22;364;LP;0;56
Charlton;Elermore Vale;1161;60.91;-7.74;745;LP;11;74
Charlton;Eraring;24;44.44;-30.07;30;LP;0;1
Charlton;Fassifern;359;61.90;-9.10;221;LP;2;21
Charlton;Fennell Bay;806;66.39;-8.61;408;LP;7;57
Charlton;Garden Suburb;607;57.86;-5.07;442;LP;12;57
Charlton;Glendale;386;72.28;-4.66;148;LP;0;17
Charlton;Glendale East;802;62.36;-9.70;484;LP;3;50
Charlton;Hawkins Village;162;51.76;-8.47;151;LP;2;11
Charlton;Hillsborough (Charlton);329;61.61;-8.10;205;LP;6;13
Charlton;Holmesville;503;72.90;-7.70;187;LP;6;34
Charlton;Kilaben Bay;368;45.26;-8.96;445;LP;6;10
Charlton;Killingworth;212;66.67;-9.45;106;LP;2;21
Charlton;Marmong Point;188;50.67;-8.66;183;LP;1;9
Charlton;Martinsville;66;41.77;-21.11;92;LP;0;7
Charlton;Maryland;1426;66.57;-7.54;716;LP;8;60
Charlton;Morisset;778;51.08;-11.07;745;LP;10;56
Charlton;Morisset Hospital;67;66.34;-5.89;34;LP;1;2
Charlton;Morisset Park;19;45.24;-9.66;23;LP;0;0
Charlton;Mount Hutton (Charlton);148;44.44;-9.78;185;LP;0;12
Charlton;New Lambton Heights;171;40.14;-8.43;255;LP;1;7
Charlton;Pittown;378;63.11;-10.70;221;LP;1;21
Charlton;Plattsburg;1392;67.80;-7.33;661;LP;7;103
Charlton;Rathmines;1189;54.17;-6.74;1006;LP;20;71
Charlton;Special Hospital Team 1;131;58.74;;92;LP;0;10
Charlton;Special Hospital Team 2;101;57.06;;76;LP;0;10
Charlton;Special Hospital Team 3;38;36.89;;65;LP;0;2
Charlton;Speers Point;816;57.46;-8.66;604;LP;7;51
Charlton;Speers Point East;850;49.16;-8.72;879;LP;8;40
Charlton;Sunshine;194;50.52;-11.40;190;LP;2;21
Charlton;Sydney (Charlton);21;56.76;-18.92;16;LP;1;1
Charlton;Teralba;561;64.41;-11.78;310;LP;1;37
Charlton;Toronto;313;55.40;-10.65;252;LP;4;12
Charlton;Toronto North;607;59.39;-7.54;415;LP;9;32
Charlton;Toronto West;847;79.53;-7.78;218;LP;4;49
Charlton;Wallsend;1766;65.24;-6.46;941;LP;6;111
Charlton;Wallsend Hospital;248;63.10;-7.54;145;LP;0;7
Charlton;Wallsend South;1509;53.66;-8.26;1303;LP;11;93
Charlton;Wangi Wangi;989;61.77;-7.42;612;LP;9;61
Charlton;Warners Bay;1110;55.42;-8.23;893;LP;15;59
Charlton;Warners Bay Central (Charlton);678;61.30;-6.11;428;LP;4;31
Charlton;West Wallsend;942;77.09;-6.55;280;LP;11;59
Charlton;Whitegates;732;63.32;-7.97;424;LP;1;61
