seat,prediction
Albury,0.0
Ashfield,0.0
Auburn,0.0
Balmain,0.0
Bankstown,0.0
Barwon,1.0
Bass Hill,0.0
Bathurst,1.0
Blacktown,0.0
Bligh,0.0
Blue Mountains,0.0
Broken Hill,0.49358974358974356
Burrinjuck,1.0
Burwood,0.0
Byron,1.0
Cabramatta,0.0
Camden,0.0
Campbelltown,0.0
Canterbury,0.0
Castlereagh,1.0
Cessnock,0.0
Charlestown,0.0
Clarence,1.0
Coffs Harbour,1.0
Coogee,0.0
Corrimal,0.0
Cronulla,0.0
Davidson,0.0
Drummoyne,0.0
Dubbo,1.0
Earlwood,0.0
East Hills,0.0
Eastwood,0.0
Elizabeth,0.0
Fairfield,0.0
Georges River,0.0
Gladesville,0.0
Gloucester,1.0
Gordon,0.0
Gosford,0.36687631027253664
Goulburn,1.0
Granville,0.0
Hawkesbury,0.0
Heathcote,0.0
Heffron,0.0
Hornsby,0.0
Hurstville,0.0
Illawarra,0.0
Ingleburn,0.0
Kiama,0.0
Kogarah,0.0
Ku-ring-gai,0.0
Lachlan,1.0
Lake Macquarie,0.0
Lakemba,0.0
Lane Cove,0.0
Lismore,0
Liverpool,0.0
Maitland,0.2946635730858469
Manly,0.0
Maroubra,0.0
Marrickville,0.0
Merrylands,0.0
Miranda,0.0
Monaro,0.2252675366909917
Mosman,0.0
Murray,1.0
Murrumbidgee,0.7304347826086957
Newcastle,0.0
North Shore,0.0
Northcott,0.0
Northern Tablelands,1.0
Orange,1.0
Oxley,1.0
Parramatta,0.0
Peats,0.0
Penrith,0.0
Pittwater,0.0
Riverstone,0.0
Rockdale,0.0
Ryde,0.0
St Marys,0.0
Seven Hills,0.0
South Coast,0.0
Swansea,0.0
Tamworth,1.0
The Hills,0.0
Tuggerah,0.0
Upper Hunter,1.0
Vaucluse,0.0
Wagga Wagga,0.0
Wakehurst,0.0
Wallsend,0.0
Waratah,0.0
Wentworthville,0.0
Willoughby,0.0
Wollongong,0.0
Woronora,0.0
