seat,prediction
Adelaide,0.0
Bragg,0.0
Chaffey,0.0
Cheltenham,0.0
Colton,0.0
Croydon,0.0
Davenport,0.0
Dunstan,0.0
Elder,0.0
Badcoe,0.0
Black,0.0
Elizabeth,0.0
Enfield,0.0
Finniss,0.0
Flinders,0.0
Florey,0.0
Frome,0.0
Gibson,0.0
Giles,0.0
Hammond,0.0
Hartley,0.0
Heysen,0.0
Hurtle Vale,0.0
Kaurna,0.0
Kavel,0.0
King,0.0
Lee,0.0
Light,0.0
MacKillop,0.0
Mawson,0.0
Morialta,0.0
Morphett,0.0
Mount Gambier,0.0
Narungga,0.0
Newland,0.0
Playford,0.0
Port Adelaide,0.0
Ramsay,0.0
Reynell,0.0
Schubert,0.0
Stuart,0.0
Taylor,0.0
Torrens,0.0
Unley,0.0
Waite,0.0
West Torrens,0.0
Wright,0.0
