seat,prediction
Adelaide,0.0
Aston,0.0
Ballarat,0.0
Banks,0.0
Barker,0.05219655308525293
Barton,0.0
Bass,0.0
Bean,0.0
Bendigo,0.739433117851815
Bennelong,0.0
Berowra,0.0
Blair,0.0
Blaxland,0.0
Bonner,0.0
Boothby,0.0
Bowman,0.0
Braddon,0.0
Bradfield,0.0
Brand,0.0
Brisbane,0.0
Bruce,0.0
Bullwinkel,0.39356126778138256
Burt,0.0
Calare,1.0
Calwell,0.0
Canberra,0.0
Canning,0.0
Capricornia,0.0
Casey,0.0
Chifley,0.0
Chisholm,0.0
Clark,0.0
Cook,0.0
Cooper,0.0
Corangamite,0.0
Corio,0.0
Cowan,0.0
Cowper,1.0
Cunningham,0.0
Curtin,0.0
Dawson,0.0
Deakin,0.0
Dickson,0.0
Dobell,0.0
Dunkley,0.0
Durack,0.2790093104017804
Eden-Monaro,0.0
Fadden,0.0
Fairfax,0.0
Farrer,0.0
Fenner,0.0
Fisher,0.0
Flinders,0.0
Flynn,0.0
Forde,0.0
Forrest,0.13340744858254586
Fowler,0.0
Franklin,0.0
Fraser,0.0
Fremantle,0.0
Gellibrand,0.0
Gilmore,0.0
Gippsland,1.0
Goldstein,0.0
Gorton,0.0
Grayndler,0.0
Greenway,0.0
Grey,0.08111667105609692
Griffith,0.0
Groom,0.0
Hasluck,0.0
Hawke,0.0
Herbert,0.0
Hindmarsh,0.0
Hinkler,0.0
Holt,0.0
Hotham,0.0
Hughes,0.0
Hume,0.0
Hunter,1.0
Indi,0.0
Isaacs,0.0
Jagajaga,0.0
Kennedy,0.0
Kingsford Smith,0.0
Kingston,0.0
Kooyong,0.0
Lalor,0.0
La Trobe,0.0
Leichhardt,0.0
Lilley,0.0
Lindsay,0.0
Lingiari,0.0
Longman,0.0
Lyne,1.0
Lyons,0.0
Macarthur,0.0
Mackellar,0.0
Macnamara,0.0
Macquarie,0.0
Makin,0.0
Mallee,1.0
Maranoa,0.0
Maribyrnong,0.0
Mayo,0.0
McEwen,0.0
McMahon,0.0
McPherson,0.0
Melbourne,0.0
Menzies,0.0
Mitchell,0.0
Monash,0.0
Moncrieff,0.0
Moore,0.0
Moreton,0.0
New England,1.0
Newcastle,0.0
Nicholls,1.0
O'Connor,0.2708994708994709
Oxley,0.0
Page,1.0
Parkes,1.0
Parramatta,0.0
Paterson,0.0
Pearce,0.0
Perth,0.0
Petrie,0.0
Rankin,0.0
Reid,0.0
Richmond,1.0
Riverina,1.0
Robertson,0.0
Ryan,0.0
Scullin,0.0
Shortland,0.0
Solomon,0.0
Spence,0.0
Sturt,0.0
Swan,0.0
Sydney,0.0
Tangney,0.0
Wannon,0.0
Warringah,0.0
Watson,0.0
Wentworth,0.0
Werriwa,0.0
Whitlam,0.0
Wide Bay,0.0
Wills,0.0
Wright,0.0
