schema_version,record_type,election,party,pollster,weighted_abs_error,error_weight,final_trend_median,new_house_effect_median,recent_poll_count
1,leave_one_out,1988vic,@TPP,F2F Morgan,7.3294690058892593,1.2954662920823885,,,
1,leave_one_out,1988vic,@TPP,Newspoll,5.5700142091569962,1.9831299452391993,,,
1,leave_one_out,1988vic,ALP FP,F2F Morgan,4.3036456284733857,1.470601377231084,,,
1,leave_one_out,1988vic,ALP FP,Newspoll,2.4002484823014787,2.8646182904909478,,,
1,leave_one_out,1988vic,LNP FP,F2F Morgan,8.3642427797453873,1.352720626218249,,,
1,leave_one_out,1988vic,LNP FP,Newspoll,10.743093789024558,1.2243844513045186,,,
1,leave_one_out,1988vic,OTH FP,F2F Morgan,11.855496070020742,1.4525966692772756,,,
1,leave_one_out,1988vic,OTH FP,Newspoll,3.6039690342818989,2.9078259171289069,,,
1,bias_trend,1988vic,@TPP,,,,55.186,,
1,bias_trend,1988vic,ALP FP,,,,49.579000000000001,,
1,bias_trend,1988vic,LNP FP,,,,42.725999999999999,,
1,bias_trend,1988vic,OTH FP,,,,8.0269999999999992,,
1,bias_pollster,1988vic,@TPP,F2F Morgan,,,,1.4370000000000001,2
1,bias_pollster,1988vic,@TPP,Newspoll,,,,-1.1850000000000001,6
1,bias_pollster,1988vic,@TPP,Saulwick,,,,-0.17499999999999999,1
1,bias_pollster,1988vic,ALP FP,F2F Morgan,,,,0.079000000000000001,2
1,bias_pollster,1988vic,ALP FP,Newspoll,,,,0.19500000000000001,6
1,bias_pollster,1988vic,ALP FP,Saulwick,,,,-0.28199999999999997,1
1,bias_pollster,1988vic,LNP FP,F2F Morgan,,,,-0.85299999999999998,2
1,bias_pollster,1988vic,LNP FP,Newspoll,,,,0.91200000000000003,6
1,bias_pollster,1988vic,LNP FP,Saulwick,,,,-0.052999999999999999,1
1,bias_pollster,1988vic,OTH FP,F2F Morgan,,,,0.68799999999999994,2
1,bias_pollster,1988vic,OTH FP,Newspoll,,,,-1.6240000000000001,6
1,bias_pollster,1988vic,OTH FP,Saulwick,,,,0.81399999999999995,1
